"Id","Label","Name","Provided","Treeshaked","Used"
1144,"./pages/editor/ui/tag/index.css","./pages/editor/ui/tag/index.css",0,0,0
512,"./shared/library/uniq.ts","./shared/library/uniq.ts",1,1,1
9163,"./shared/library/omit.ts","./shared/library/omit.ts",1,1,1
1881,"./pages/profile/ui/profile-image.tsx","./pages/profile/ui/profile-image.tsx",1,1,1
5402,"./pages/profile/ui/profile-title.tsx","./pages/profile/ui/profile-title.tsx",1,1,1
604,"./pages/profile/ui/profile-bio.tsx","./pages/profile/ui/profile-bio.tsx",1,1,1
7368,"./pages/profile/ui/edit-mode.tsx","./pages/profile/ui/edit-mode.tsx",1,1,1
4805,"./pages/profile/ui/follow-user-button.tsx","./pages/profile/ui/follow-user-button.tsx",1,1,1
6636,"./entities/comment/model/api.ts","./entities/comment/model/api.ts",3,1,3
2367,"./entities/comment/ui/error.tsx","./entities/comment/ui/error.tsx",1,1,1
6555,"./entities/comment/ui/comment.tsx","./entities/comment/ui/comment.tsx",1,1,1
2366,"./pages/home/pages/global-feed/model/api.ts","./pages/home/pages/global-feed/model/api.ts",1,1,1
7796,"./entities/article/model/store.ts","./entities/article/model/store.ts",1,1,1
6742,"./entities/article/ui/empty-feed.tsx","./entities/article/ui/empty-feed.tsx",1,1,1
924,"./entities/article/ui/articles-wrapper/index.tsx","./entities/article/ui/articles-wrapper/index.tsx",1,1,1
4482,"./entities/article/ui/article-preview.tsx","./entities/article/ui/article-preview.tsx",1,1,1
3338,"./shared/ui/pagination/item/index.css","./shared/ui/pagination/item/index.css",0,0,0
9538,"./pages/home/pages/your-feed/model/api.ts","./pages/home/pages/your-feed/model/api.ts",1,1,1
889,"./pages/home/pages/feed-by-tag/model/api.ts","./pages/home/pages/feed-by-tag/model/api.ts",1,1,1
829,"./pages/profile/pages/my-articles/model/api.ts","./pages/profile/pages/my-articles/model/api.ts",1,1,1
1181,"./pages/profile/pages/favorited-articles/api.ts","./pages/profile/pages/favorited-articles/api.ts",1,1,1
9742,"../node_modules/strict-uri-encode/index.js","../node_modules/strict-uri-encode/index.js",-1,-1,-1
1998,"../node_modules/decode-uri-component/index.js","../node_modules/decode-uri-component/index.js",-1,-1,-1
9400,"../node_modules/split-on-first/index.js","../node_modules/split-on-first/index.js",-1,-1,-1
7728,"../node_modules/filter-obj/index.js","../node_modules/filter-obj/index.js",-1,-1,-1
8057,"../node_modules/axios/lib/axios.js","../node_modules/axios/lib/axios.js",-1,-1,-1
4825,"./pages/home/model/api.ts","./pages/home/model/api.ts",1,1,1
4544,"./entities/comment/ui/comment-footer.tsx","./entities/comment/ui/comment-footer.tsx",1,1,1
3300,"./shared/library/limit.ts","./shared/library/limit.ts",1,1,1
1989,"./entities/article/model/api.ts","./entities/article/model/api.ts",2,1,2
5440,"../node_modules/patronum/status/index.js","../node_modules/patronum/status/index.js",1,1,1
3933,"./entities/article/ui/articles-wrapper/index.module.css","./entities/article/ui/articles-wrapper/index.module.css",1,1,1
9384,"./entities/article/ui/button-favorite/index.tsx","./entities/article/ui/button-favorite/index.tsx",1,1,1
7485,"../node_modules/axios/lib/utils.js","../node_modules/axios/lib/utils.js",-1,-1,-1
875,"../node_modules/axios/lib/helpers/bind.js","../node_modules/axios/lib/helpers/bind.js",-1,-1,-1
5029,"../node_modules/axios/lib/core/Axios.js","../node_modules/axios/lib/core/Axios.js",-1,-1,-1
3141,"../node_modules/axios/lib/defaults.js","../node_modules/axios/lib/defaults.js",-1,-1,-1
7132,"../node_modules/axios/lib/cancel/Cancel.js","../node_modules/axios/lib/cancel/Cancel.js",-1,-1,-1
1475,"../node_modules/axios/lib/cancel/isCancel.js","../node_modules/axios/lib/cancel/isCancel.js",-1,-1,-1
4941,"../node_modules/axios/lib/core/mergeConfig.js","../node_modules/axios/lib/core/mergeConfig.js",-1,-1,-1
3345,"../node_modules/axios/lib/env/data.js","../node_modules/axios/lib/env/data.js",-1,-1,-1
4603,"../node_modules/axios/lib/cancel/CancelToken.js","../node_modules/axios/lib/cancel/CancelToken.js",-1,-1,-1
5739,"../node_modules/axios/lib/helpers/spread.js","../node_modules/axios/lib/helpers/spread.js",-1,-1,-1
5835,"../node_modules/axios/lib/helpers/isAxiosError.js","../node_modules/axios/lib/helpers/isAxiosError.js",-1,-1,-1
3719,"./entities/comment/ui/button-delete/index.tsx","./entities/comment/ui/button-delete/index.tsx",1,1,1
7716,"./entities/article/ui/button-favorite/index.module.css","./entities/article/ui/button-favorite/index.module.css",1,1,1
581,"../node_modules/axios/lib/helpers/buildURL.js","../node_modules/axios/lib/helpers/buildURL.js",-1,-1,-1
8096,"../node_modules/axios/lib/core/InterceptorManager.js","../node_modules/axios/lib/core/InterceptorManager.js",-1,-1,-1
5009,"../node_modules/axios/lib/core/dispatchRequest.js","../node_modules/axios/lib/core/dispatchRequest.js",-1,-1,-1
1446,"../node_modules/axios/lib/helpers/normalizeHeaderName.js","../node_modules/axios/lib/helpers/normalizeHeaderName.js",-1,-1,-1
9953,"../node_modules/axios/lib/core/enhanceError.js","../node_modules/axios/lib/core/enhanceError.js",-1,-1,-1
4387,"../node_modules/axios/lib/adapters/xhr.js","../node_modules/axios/lib/adapters/xhr.js",-1,-1,-1
6144,"../node_modules/axios/lib/helpers/validator.js","../node_modules/axios/lib/helpers/validator.js",-1,-1,-1
2170,"./entities/comment/ui/button-delete/index.module.css","./entities/comment/ui/button-delete/index.module.css",1,1,1
9212,"../node_modules/axios/lib/core/transformData.js","../node_modules/axios/lib/core/transformData.js",-1,-1,-1
4570,"../node_modules/axios/lib/core/settle.js","../node_modules/axios/lib/core/settle.js",-1,-1,-1
8524,"../node_modules/axios/lib/core/createError.js","../node_modules/axios/lib/core/createError.js",-1,-1,-1
2940,"../node_modules/axios/lib/helpers/cookies.js","../node_modules/axios/lib/helpers/cookies.js",-1,-1,-1
574,"../node_modules/axios/lib/core/buildFullPath.js","../node_modules/axios/lib/core/buildFullPath.js",-1,-1,-1
3845,"../node_modules/axios/lib/helpers/parseHeaders.js","../node_modules/axios/lib/helpers/parseHeaders.js",-1,-1,-1
8338,"../node_modules/axios/lib/helpers/isURLSameOrigin.js","../node_modules/axios/lib/helpers/isURLSameOrigin.js",-1,-1,-1
2642,"../node_modules/axios/lib/helpers/isAbsoluteURL.js","../node_modules/axios/lib/helpers/isAbsoluteURL.js",-1,-1,-1
2288,"../node_modules/axios/lib/helpers/combineURLs.js","../node_modules/axios/lib/helpers/combineURLs.js",-1,-1,-1
